"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"329";"19708#27644";19708;"1144-1";1;1200;90;"P";64;"FALSE";585,351264898429;27644;"232-2";1;2700;50;"P";56;"FALSE";1388,13643689824;"";"";"";"";"";"";"";"";""
"333";"5202#2117";5202;"182-1";1;1700;100;"P";61;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";40;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"333A";"5202#2117";5202;"182-1";1;1700;100;"P";61;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";40;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"41A";"5202#2117";5202;"182-1";1;1700;100;"P";64;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";55;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"41B";"13698#5904";13698;"4370-1";1;2000;90;"P";63;"FALSE";617,846846343841;5904;"185-2";1;2800;90;"G";56;"TRUE";790,39426419961;"";"";"";"";"";"";"";"";""
"777";"3757#6356";3757;"152-3";1;1600;100;"P";61;"TRUE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";65;"TRUE";554,019534373292;"";"";"";"";"";"";"";"";""
"109A";"13698#5904";13698;"4370-1";1;2000;90;"P";56;"FALSE";617,846846343841;5904;"185-2";1;2800;90;"G";55;"FALSE";790,39426419961;"";"";"";"";"";"";"";"";""
"109B";"40204#48181";40204;"145-2";1;2000;90;"G";53;"FALSE";697,097735940464;48181;"250-1";1;3200;80;"G";47;"FALSE";1366,39096776331;"";"";"";"";"";"";"";"";""
"115A";"5202#2113";5202;"182-1";1;1700;100;"P";67;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";61;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"115B";"5202#678";5202;"182-1";1;1700;100;"P";60;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";60;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
